manufacturer,permit_number,vin_number,is_operatable_without_driver,driver_present,is_disengaged_by,disengaged_location,disengagement_reason,date
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the laneConditions: Non-inclement weather, dry roads, no other factors involved",4/19/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the laneConditions: Non-inclement weather, dry roads, no other factors involved",4/19/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During the lane change maneuvre a truck on the right lane wanted to make lane change into our laneConditions: Non-inclement weather, dry roads, no other factors involved",4/19/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the left lane, but tended to the right lane.Conditions: Non-inclement weather, dry roads, no other factors involved",4/19/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Lane change did not happen in time in an exit/merge situation - therefore disengagedConditions: Non-inclement weather, dry roads, no other factors involved",4/19/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During the lane change maneuver the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",4/19/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The software gave back control to the driver, due to a minor system errorConditions: Non-inclement weather, dry roads, no other factors involved",4/21/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the laneConditions: Non-inclement weather, dry roads, no other factors involved",4/21/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the laneConditions: Non-inclement weather, dry roads, no other factors involved",4/26/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",4/27/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",4/27/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.Conditions: Non-inclement weather, dry roads, no other factors involved",4/27/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",4/28/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During the lane change maneuver the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",5/6/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the laneConditions: Non-inclement weather, dry roads, no other factors involved",5/6/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the laneConditions: Non-inclement weather, dry roads, no other factors involved",5/6/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",5/7/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the laneConditions: Non-inclement weather, dry roads, no other factors involved",5/7/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.Conditions: Non-inclement weather, dry roads, no other factors involved",5/10/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The software gave back control to the driver, due to a minor system errorConditions: Non-inclement weather, dry roads, no other factors involved",5/12/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The software gave back control to the driver, due to a minor system errorConditions: Non-inclement weather, dry roads, no other factors involved",5/12/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.Conditions: Non-inclement weather, dry roads, no other factors involved",5/12/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",5/12/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.Conditions: Non-inclement weather, dry roads, no other factors involved",5/18/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",5/19/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.Conditions: Non-inclement weather, dry roads, no other factors involved",5/20/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.Conditions: Non-inclement weather, dry roads, no other factors involved",5/24/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.Conditions: Non-inclement weather, dry roads, no other factors involved",6/2/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the left lane, but tended to the right lane.Conditions: Non-inclement weather, dry roads, no other factors involved",6/3/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.Conditions: Non-inclement weather, dry roads, no other factors involved",6/3/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the left lane, but tended to the right lane.Conditions: Non-inclement weather, dry roads, no other factors involved",6/3/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The software gave back control to the driver, due to a minor system errorConditions: Non-inclement weather, dry roads, no other factors involved",6/4/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.Conditions: Non-inclement weather, dry roads, no other factors involved",6/8/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.Conditions: Non-inclement weather, dry roads, no other factors involved",6/11/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",6/11/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During the lane change maneuver the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",6/23/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the laneConditions: Non-inclement weather, dry roads, no other factors involved",6/24/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",6/25/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During the lane change maneuver the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",6/25/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",6/25/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.Conditions: Non-inclement weather, dry roads, no other factors involved",6/28/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",6/29/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",6/30/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",7/1/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During the lane change maneuver the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",7/6/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",10/13/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",10/15/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",10/15/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",10/18/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",10/18/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",10/18/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",10/18/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. Conditions: Non-inclement weather, dry roads, no other factors involved",11/16/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. Conditions: Non-inclement weather, dry roads, no other factors involved",11/16/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",11/17/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",11/17/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",11/18/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",11/18/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",11/18/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",11/18/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",11/19/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. Conditions: Non-inclement weather, dry roads, no other factors involved",11/19/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",11/19/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",11/19/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",11/22/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",11/22/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",11/22/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",11/22/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",11/23/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",11/23/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",11/23/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",11/23/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. Conditions: Non-inclement weather, dry roads, no other factors involved",11/23/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",11/23/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",11/24/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",11/24/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",11/24/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. Conditions: Non-inclement weather, dry roads, no other factors involved",11/24/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. Conditions: Non-inclement weather, dry roads, no other factors involved",11/24/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",11/24/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",11/29/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. Conditions: Non-inclement weather, dry roads, no other factors involved",11/29/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Drive,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. Conditions: Non-inclement weather, dry roads, no other factors involved",11/30/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Drive,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",11/30/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Drive,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",11/30/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Drive,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",11/30/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Drive,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",12/6/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Drive,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",12/6/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",12/6/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",12/6/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",12/6/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",12/7/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane change to the software operator. Conditions: Non-inclement weather, dry roads, no other factors involved",12/8/2021
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,No,Yes,Test Driver,Freeway,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. Conditions: Non-inclement weather, dry roads, no other factors involved",12/8/2021
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,Yes,Yes,Test Driver,Street,Ego drifting towards curb due to degrading localization,6/15/2021
APPLE INC.,AVT030,2T2BGMCAXGC006416,No,Yes,Test Driver,Street,Map discrepancy led to undesirable motion plan,12/2/2020
APPLE INC.,AVT030,2T2BGMCA0HC019967,No,Yes,AV System,Street,Motion control health check caused software kickout,12/7/2020
APPLE INC.,AVT030,2T2BGMCAXGC006416,No,Yes,AV System,Street,Motion control health check caused software kickout,12/15/2020
APPLE INC.,AVT030,2T2BGMCAXGC006416,No,Yes,AV System,Street,Motion control health check caused software kickout,12/15/2020
APPLE INC.,AVT030,2T2BGMCA5HC019818,No,Yes,Test Driver,Street,Map discrepancy led to undesirable motion plan,12/15/2020
APPLE INC.,AVT030,2T2BGMCAXGC006416,No,Yes,AV System,Street,Motion control health check caused software kickout,12/21/2020
APPLE INC.,AVT030,2T2BGMCAXGC006416,No,Yes,Test Driver,Street,Incorrect perception of traffic signal led to undesirable motion plan,12/22/2020
APPLE INC.,AVT030,2T2BGMCA0HC019967,No,Yes,Test Driver,Street,Incorrect prediction of vehicle caused undesirable motion plan,1/7/2021
APPLE INC.,AVT030,2T2BGMCA6GC007983,No,Yes,AV System,Street,Motion control health check caused software kickout,1/8/2021
APPLE INC.,AVT030,2T2BGMCA6GC007983,No,Yes,AV System,Street,Motion control health check caused software kickout,1/8/2021
APPLE INC.,AVT030,2T2BGMCA7HC017262,No,Yes,Test Driver,Street,Map discrepancy led to undesirable motion plan,2/19/2021
APPLE INC.,AVT030,2T2BGMCA2HC020151,No,Yes,Test Driver,Street,Motion planning unable to produce valid trajectory,2/19/2021
APPLE INC.,AVT030,2T2BGMCA0HC019967,No,Yes,Test Driver,Street,Incorrect perception of traffic signal led to undesirable motion plan,2/19/2021
APPLE INC.,AVT030,2T2BGMCA0HC019967,No,Yes,Test Driver,Street,Incorrect perception of traffic signal led to undesirable motion plan,2/22/2021
APPLE INC.,AVT030,2T2BGMCA0HC019967,No,Yes,Test Driver,Highway,Map discrepancy led to undesirable motion plan,2/23/2021
APPLE INC.,AVT030,2T2BGMCA2HC020151,No,Yes,AV System,Street,Motion control health check caused software kickout,2/23/2021
APPLE INC.,AVT030,2T2BGMCA0HC019967,No,Yes,AV System,Street,Incorrect prediction led to undesirable motion plan,2/24/2021
APPLE INC.,AVT030,2T2BGMCA7HC017262,No,Yes,Test Driver,Street,Motion planning unable to produce valid trajectory,2/24/2021
APPLE INC.,AVT030,2T2BGMCAXHC018082,No,Yes,Test Driver,Street,Incorrect prediction led to undesirable motion plan,2/24/2021
APPLE INC.,AVT030,2T2BGMCAXHC018082,No,Yes,Test Driver,Street,Motion planning unable to produce valid trajectory,2/24/2021
APPLE INC.,AVT030,2T2BGMCAXHC018082,No,Yes,Test Driver,Street,Incorrect prediction led to undesirable motion plan,2/24/2021
APPLE INC.,AVT030,2T2BGMCAXHC018082,No,Yes,Test Driver,Street,Undesirable motion plan did not adequately follow driving etiquette,2/24/2021
APPLE INC.,AVT030,2T2BGMCAXHC018082,No,Yes,Test Driver,Street,Undesirable motion plan resulted in incorrect vehicle position on roadway,2/24/2021
APPLE INC.,AVT030,2T2BGMCA7HC017262,No,Yes,Test Driver,Highway,Map discrepancy led to undesirable motion plan,2/24/2021
